ID;Art;From;To;Length;Source;Target;ToblerSum;Weight
537601;land;NULL;NULL;5321;6177;8194;322.2402395;31.03274755
537603;land;NULL;NULL;5210;3639;11555;309.0077365;32.36164931
537605;land;NULL;NULL;10924;8194;16265;652.1252175;15.3344783
537607;land;NULL;NULL;1524;5653;16266;88.35532724;113.1793669
537609;land;NULL;NULL;2958;7960;16268;176.6916361;56.59577453
537611;land;NULL;NULL;13062;6164;16269;785.0486678;12.73806378
537613;water;NULL;NULL;29211;11613;17009;1758.194557;17.06295807
537615;land;NULL;NULL;15956;7880;8609;972.1813004;10.28614724
537617;land;NULL;NULL;20697;8609;8186;1254.451807;7.971609546
537619;land;NULL;NULL;3424;8186;16274;206.8246458;48.3501372
537621;land;NULL;NULL;7597;4228;6615;461.6167905;21.66299018
537623;land;NULL;NULL;5002;6615;11614;300.0567825;33.32702536
537625;land;NULL;NULL;2796;2944;11614;164.9195828;60.63561302
537627;land;NULL;NULL;7599;11614;6166;458.4081635;21.81462024
537629;land;NULL;NULL;6618;6166;156;395.8983182;25.25901106
537631;land;NULL;NULL;7901;7138;16214;482.8167006;20.71179391
537633;land;NULL;NULL;4069;7890;16215;246.1590346;40.62414373
537635;land;NULL;NULL;16700;3461;2877;1004.756035;9.952664775
537637;land;NULL;NULL;13175;2944;11629;801.2815734;12.48000744
537639;land;NULL;NULL;4411;8115;11630;269.8552638;37.05690176
537641;land;NULL;NULL;11744;6667;396;705.5818763;14.17269963
537643;land;NULL;NULL;8390;156;11697;505.2664171;19.791539
537645;land;NULL;NULL;1120;11658;11659;69.43173557;144.0263579
537647;land;NULL;NULL;10952;11659;11661;656.1905572;15.23947562
537649;land;NULL;NULL;8964;11661;3320;534.3763895;18.71340163
537651;land;NULL;NULL;10503;11659;11630;635.5632443;15.73407539
537653;land;NULL;NULL;13504;11670;11703;816.2494324;12.25115706
537655;land;NULL;NULL;5962;8598;11686;361.6127749;27.65389028
537657;land;NULL;NULL;10109;5823;4378;608.9558685;16.42155124
537659;land;NULL;NULL;11433;4378;11687;687.6899579;14.54143671
537661;land;NULL;NULL;494;7440;11687;30.01728724;333.1413635
537663;land;NULL;NULL;5624;11687;16595;338.9787659;29.5003729
537665;land;NULL;NULL;13181;11697;6689;790.5620873;12.64922788
537667;land;NULL;NULL;4044;6689;7679;246.7764772;40.52250082
537669;land;NULL;NULL;6657;7679;3306;411.8563282;24.28031164
537671;land;NULL;NULL;18952;7679;11698;1154.424723;8.66232315
537673;land;NULL;NULL;10083;2944;11699;604.1280214;16.55278293
